# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-3.625393,16,2.553111
1.001467,6,2.553173
-4.388977,4,2.553651
-1.05233,3,2.555643
-2.626627,4,2.558116
-3.248207,8,2.564336
-5.954932,10,2.566653
-7.988488,7,2.568838
-5.179271,8,2.568872
-5.769042,8,2.571086
-3.032876,5,2.575296
-5.375593,8,2.575684
-3.992077,10,2.577603
-3.427192,3,2.577729
-1.748068,4,2.578013
-3.510181,3,2.581948
-3.171678,8,2.583964
-1.783485,4,2.584341
-1.98431,14,2.584341
-4.582532,10,2.590426
-5.216095,7,2.592381
-3.93889,4,2.592581
-3.686641,8,2.594561
-2.708033,5,2.594942
0.273018,7,2.596837
-4.125918,6,2.597014
-6.546825,10,2.599172
-2.739384,5,2.601787
-4.605832,5,2.604358
-8.400928,6,2.606232
-4.626551,5,2.606411
-1.078484,5,2.608598
-6.411843,5,2.61083
-0.786224,7,2.611211
-3.293434,6,2.615602
-1.355563,4,2.617714
-5.147577,5,2.622288
-3.55681,8,2.624704
0.289605,10,2.627637
-6.78036,6,2.629673
1.973368,10,2.629676
-2.979186,3,2.629696
-3.795454,10,2.634258
-2.084234,3,2.634523
-2.591067,17,2.636622
-4.766501,8,2.636835
-3.023429,3,2.636838
-7.92576,7,2.640828
-2.011502,3,2.64106
-3.396403,4,2.645155
-5.791025,8,2.647328
-1.057135,6,2.649637
-3.895599,5,2.651585
-7.519522,8,2.651792
-5.52929,8,2.653978
-2.852468,12,2.655842
-4.346555,7,2.656151
-2.157487,4,2.656178
-2.933622,2,2.656331
-8.800743,6,2.65826
-3.663594,3,2.660269
-4.035878,4,2.660431
-5.038312,6,2.662596
-2.641022,4,2.665323
-1.723055,4,2.667693
-2.533455,7,2.672802
-7.303913,7,2.673044
-2.318909,4,2.673111
-4.089856,6,2.67531
-3.679126,4,2.675435
-2.831684,7,2.677529
-2.229571,3,2.679709
-11.573436,10,2.679705
-3.115945,6,2.681687
-1.788325,7,2.687478
-4.449335,7,2.687608
-2.506922,4,2.687737
-2.841523,6,2.689681
-0.208838,5,2.689819
-2.407885,2,2.693724
-1.376781,6,2.693798
-3.261262,4,2.696209
-0.947195,5,2.698236
-8.123791,5,2.700237
1.958761,12,2.700505
-2.40741,4,2.702549
-4.404112,7,2.702617
-1.310829,5,2.704771
-2.887648,3,2.704837
-10.526859,15,2.706919
-3.222111,6,2.709382
-5.374186,4,2.712449
-2.931747,4,2.712607
-0.472977,8,2.719121
3.044821,8,2.71919
-1.113973,6,2.721227
-4.756114,8,2.723243
-8.747367,6,2.723362
-0.94887,4,2.727358
-2.515751,5,2.7294
