# {"t_start": 1587022198.6629272, "env_id": "DartHopperPT-v1"} 
r,l,t
-2.668725,5,4.815015
-2.238178,4,4.818727
-1.673887,4,4.822507
-1.637065,5,4.826998
-9.924841,11,4.83679
-0.857139,4,4.840772
-1.36581,4,4.844486
2.968721,10,4.853477
-2.173644,5,4.858375
-6.114644,5,4.862833
3.056185,10,4.871602
-0.285568,8,4.878085
-2.320288,4,4.881542
-3.723601,4,4.884999
1.510396,6,4.890624
1.025266,7,4.896625
-5.393129,3,4.899505
-1.855561,6,4.904805
0.76921,7,4.911398
-4.93078,3,4.91449
-3.380241,6,4.920269
5.451591,11,4.929518
-3.616263,3,4.932205
-1.707676,5,4.936499
-3.277948,4,4.940117
-2.799424,4,4.943839
-2.63377,3,4.946557
-1.06708,4,4.950355
4.126848,9,4.958166
-2.447775,6,4.963498
-4.833294,7,4.969402
-1.757497,6,4.974905
-2.02576,3,4.977766
-2.375257,6,4.983052
-1.252817,7,4.988776
-2.315601,3,4.991539
-3.770762,4,4.995473
-3.49468,8,5.001909
-0.695962,7,5.008063
-2.767149,4,5.011562
-1.893572,4,5.01526
0.209121,5,5.019701
-1.639512,4,5.02318
-0.791981,11,5.032458
-0.628983,4,5.036489
-3.553228,5,5.041821
-1.902766,8,5.048476
-1.76123,4,5.052047
-1.598522,5,5.056381
-2.182125,4,5.060363
-3.199039,4,5.063685
-2.770014,4,5.067606
2.221387,7,5.073703
-2.745372,4,5.077383
-0.129948,7,5.083483
-7.675871,7,5.091609
-2.351887,3,5.094882
-3.031643,7,5.102226
-3.726324,5,5.106373
-3.764636,3,5.109338
0.888152,5,5.114329
-2.533609,5,5.119078
-0.614548,4,5.122958
-0.889408,5,5.127086
1.035623,4,5.130818
0.021145,6,5.136099
6.591262,14,5.148669
-5.28848,7,5.154909
-1.806486,5,5.159675
-2.796234,4,5.163545
-1.446354,6,5.170166
-2.397206,6,5.176547
3.964544,13,5.188231
-5.847987,5,5.192523
-3.089483,3,5.195444
-1.890477,3,5.198161
-2.289896,3,5.201165
-3.355076,3,5.204006
-3.056762,3,5.206693
-3.190769,2,5.208467
-2.413896,2,5.210494
-3.843964,3,5.213287
3.144608,10,5.222169
0.916729,6,5.22737
-1.958409,10,5.235983
0.820702,7,5.242144
-0.833864,5,5.246854
-5.296912,4,5.250064
8.719077,10,5.259064
-3.083835,13,5.271568
-4.139483,8,5.278665
-1.343916,4,5.282131
-4.356748,4,5.285983
-1.930144,5,5.291203
-3.604828,5,5.295513
0.37973,11,5.305087
-0.253425,5,5.309506
-1.789955,4,5.313578
-1.476041,5,5.31826
3.546794,6,5.323835
-0.151558,7,5.329799
-1.916176,4,5.333605
-1.760902,4,5.337468
1.866562,7,5.343252
-3.587927,4,5.346982
0.847025,8,5.35429
-2.747024,4,5.357804
-0.689851,7,5.363757
-1.624548,3,5.366819
-3.22886,5,5.371867
4.88771,12,5.38243
-1.474046,4,5.386011
-4.389457,3,5.388822
-4.63117,4,5.392394
-2.787931,5,5.39698
-2.38474,4,5.400976
-1.670962,7,5.406871
-2.351788,3,5.409811
-2.967125,3,5.412471
-2.688278,6,5.417876
0.346785,8,5.424777
-3.217843,8,5.431769
-0.925728,11,5.441476
-1.92615,3,5.444377
-4.787468,3,5.447577
1.013926,7,5.453976
-5.3392,3,5.457135
1.405733,5,5.461566
-1.65362,5,5.466273
-3.372564,6,5.471083
0.793311,7,5.477379
-2.287202,4,5.480933
-2.969497,3,5.483661
-3.164197,5,5.487631
3.231728,8,5.494916
8.941362,12,5.505181
-1.28123,5,5.509611
-2.385528,5,5.513805
-2.31399,2,5.515685
-0.763926,8,5.522378
-2.963876,2,5.524348
-4.208376,8,5.531621
-3.783634,5,5.536262
-3.343175,8,5.544336
-2.079584,3,5.547474
-3.454658,4,5.551911
-2.864329,10,5.561537
-1.508453,4,5.564904
-5.860088,11,5.575175
-1.8044,6,5.580823
-3.031863,3,5.583409
-5.784354,5,5.587643
-0.806589,8,5.594308
-2.187409,8,5.601504
-1.924472,15,5.614288
-2.180665,3,5.61747
-5.224616,11,5.62955
-3.576376,7,5.636121
-4.714243,4,5.639757
-2.382705,3,5.64275
-2.913146,7,5.64877
-3.363623,4,5.652641
-1.910553,5,5.656924
-1.269084,7,5.662755
14.082704,13,5.67419
-4.240189,6,5.679459
-3.092189,5,5.683889
-2.138401,4,5.687707
-0.358671,8,5.694772
-2.046669,4,5.698148
-1.779148,4,5.701677
-3.000186,5,5.706451
5.959406,12,6.014548
-3.787307,7,6.021644
-0.886802,3,6.024734
-3.429188,3,6.027586
-0.379204,3,6.030859
1.832454,6,6.037063
0.344391,5,6.041953
3.46975,12,6.053127
-3.507881,9,6.062264
-0.670343,5,6.067141
4.237622,11,6.078664
-2.541945,4,6.083311
-3.051437,5,6.088274
-0.350261,5,6.092993
-0.032071,6,6.098364
5.626717,8,6.105623
-0.26904,4,6.109681
-2.101022,5,6.114449
-1.756772,3,6.117493
5.659333,13,6.128441
-1.067085,3,6.131473
-5.699211,5,6.135526
-1.282235,8,6.142752
13.439855,12,6.153187
-0.184948,4,6.15687
3.095554,8,6.164073
-1.847359,3,6.16687
-0.841532,13,6.178721
-2.964594,3,6.181434
-2.267581,6,6.18687
1.008068,5,6.191358
0.048356,6,6.197108
0.041383,5,6.201161
1.555491,5,6.2054
-3.261554,3,6.208102
2.034452,6,6.213677
0.051885,8,6.22075
-3.260043,5,6.225015
5.527557,9,6.233194
-2.553619,5,6.237734
1.758852,7,6.243912
-3.038698,3,6.246592
-2.435313,5,6.251056
-2.486054,2,6.253028
1.530601,8,6.259686
-1.586649,8,6.266212
-1.707035,5,6.270493
7.075741,17,6.284691
-2.994343,2,6.286558
-7.541569,9,6.294576
9.589233,14,6.306657
-3.785053,3,6.309455
-3.153455,5,6.314079
-1.001354,4,6.317575
-2.725952,2,6.319585
1.679766,12,6.330362
-1.559407,3,6.333047
-6.351016,5,6.337318
0.285788,5,6.341575
-0.135351,7,6.347593
-0.719505,4,6.351318
-0.23196,6,6.356675
-2.612208,4,6.360372
5.342244,9,6.368407
-0.74132,12,6.379544
-0.500811,8,6.386552
-1.278531,7,6.39311
-3.399356,4,6.396682
-0.973954,3,6.399439
-0.115418,4,6.403493
7.629654,11,6.412628
-1.794188,4,6.416012
-1.758328,3,6.418831
-3.101426,5,6.423421
-4.983313,8,6.430843
-0.989278,6,6.436273
1.164927,7,6.443039
1.334364,12,6.45292
-2.081497,4,6.456546
-1.69522,3,6.459507
11.975829,12,6.471299
-0.054202,5,6.476306
-1.728868,5,6.480885
0.448163,10,6.48985
-2.559468,3,6.492702
0.378275,4,6.496662
-0.292604,5,6.500938
-3.665962,6,6.506156
-4.559459,6,6.51186
-1.551598,6,6.517195
-2.060791,3,6.52121
-3.317695,4,6.524807
-3.048048,5,6.529215
1.636858,9,6.537778
4.391666,11,6.548159
8.647706,10,6.557574
5.335562,28,6.581972
-2.717231,3,6.584788
8.243165,14,6.597226
-0.650091,5,6.601646
-0.830496,6,6.606751
-2.457395,4,6.610337
-2.007408,3,6.613098
0.051798,10,6.621709
4.248971,7,6.631294
5.637775,8,6.64238
-3.26205,6,6.651969
-4.026263,4,6.657951
-2.611462,7,6.668606
-2.207339,9,6.681662
4.114826,7,6.69243
-3.572694,5,6.69972
9.008874,13,6.723452
0.199365,6,6.731701
3.839728,9,6.73947
-2.682962,5,6.743716
-1.806895,7,6.749782
5.221873,19,6.765421
2.759022,8,6.772427
-1.496495,5,6.777101
-2.433927,5,6.781401
-2.561481,6,6.786875
-0.553761,5,6.791612
-2.910782,5,6.795848
0.058979,4,6.799569
-2.031374,6,6.805289
-0.993817,6,6.810736
4.927215,10,6.819005
-0.921247,5,6.823494
-2.887006,4,6.826807
-2.841497,5,6.831164
1.215575,7,6.837852
-2.709877,7,6.844016
1.354154,9,6.852027
-3.270143,4,6.855712
-3.88025,4,6.859329
-2.657527,5,6.863577
-1.423133,6,6.868562
-4.282885,5,6.873044
-3.018801,5,6.877486
-2.093262,4,6.88118
1.86422,8,6.888565
-1.665283,8,6.895639
-0.306372,6,6.901008
4.803154,10,6.909974
-0.802379,4,6.914265
-0.173403,3,6.917104
1.21082,12,6.928124
-4.374939,7,6.934518
-3.169481,6,6.939956
0.343838,9,6.948225
-2.865892,3,6.950861
4.292888,8,6.957835
0.165287,5,6.962538
-1.709406,5,6.967005
-3.691328,7,6.973835
-1.934508,3,6.976649
-0.336705,7,6.982905
7.239318,10,6.991699
-1.033438,7,6.998415
-1.803775,7,7.004712
-6.408941,5,7.009781
7.296643,22,7.029395
-3.04851,13,7.041257
2.151677,10,7.049775
2.155127,7,7.055745
-0.983757,4,7.059338
-1.835249,4,7.062747
9.502628,12,7.072782
-0.986932,9,7.08113
-1.778081,4,7.085088
-1.379151,8,7.092329
-1.67411,3,7.09551
-3.174629,6,7.101274
-2.900631,3,7.104011
-3.007447,3,7.107083
16.803017,15,7.120153
0.167648,7,7.127061
-1.360674,5,7.131646
-2.501226,6,7.137133
-2.695555,6,7.142498
-1.813177,7,7.148782
-0.320203,7,7.15518
2.433674,8,7.162443
-1.870278,5,7.166897
5.378341,16,7.180504
-3.09316,3,7.183191
-1.958592,4,7.186568
-1.434477,3,7.18943
-4.412258,3,7.192338
4.753777,12,7.202622
-1.124044,11,7.212513
-0.916854,5,7.216878
-2.37184,4,7.221046
4.842657,8,7.228349
-1.596638,5,7.232765
-2.777284,2,7.234724
3.826168,9,7.242371
6.222215,14,7.254991
0.941175,8,7.261729
-0.177777,6,7.266861
-5.409878,7,7.273854
3.225561,9,7.2818
1.85366,8,7.288383
-3.08846,8,7.295096
1.064718,9,7.302765
-1.618125,4,7.306525
5.893558,12,7.316924
-3.329017,5,7.321279
-4.492518,5,7.325647
-1.838371,4,7.328891
1.921334,18,7.343384
-2.651759,3,7.3459
-3.843714,6,7.351036
-3.36219,5,7.355534
0.180558,4,7.358702
-2.834556,2,7.360468
9.943556,11,7.369774
-5.848157,8,7.376982
-0.655056,8,7.38553
6.722921,10,7.394964
-2.788623,4,7.398624
-1.326494,4,7.402232
-0.228554,5,7.406797
-0.074888,6,7.411806
-3.279907,3,7.414717
2.426482,9,7.42264
0.663511,6,7.428123
3.083296,8,7.434656
1.772709,8,7.441964
4.517231,11,7.451179
0.850592,6,7.457509
-0.079225,13,7.470143
10.928463,19,7.487265
-2.445957,3,7.490347
2.547739,7,7.497251
8.02242,11,7.508156
4.740855,10,7.517507
-2.206156,3,7.520372
-4.410637,4,7.524436
2.063611,7,7.531081
0.348733,9,7.539156
11.305436,13,7.550898
0.199469,8,7.558445
-5.199632,5,7.563348
-2.499412,9,7.571608
-0.923044,4,7.575104
0.745212,7,7.581866
-1.34204,3,7.584815
1.606529,9,7.592549
0.21495,6,7.598041
-0.427978,5,7.602679
-2.725932,3,7.605757
2.852919,17,7.621198
-2.679742,5,7.626009
-2.490852,3,7.628902
0.344692,7,7.635468
-0.487275,5,7.640328
-2.654929,4,7.644247
0.298635,9,7.652048
0.265242,16,7.66592
-2.20792,7,7.672539
-6.63701,18,7.68976
-3.70703,10,7.699147
-2.215844,5,7.704052
2.655136,8,7.711338
-2.382804,3,7.714477
-4.899653,6,7.720045
-3.018114,4,7.723793
-1.372983,5,7.728656
2.382388,8,7.736448
-3.037822,3,7.739385
-3.317033,4,7.743324
-0.001007,5,7.747998
-2.435907,6,7.75346
9.883121,16,7.76761
-1.145256,7,7.774052
-1.870047,4,7.777554
-2.240444,4,7.781311
-0.856889,5,7.785667
-1.257882,5,7.790355
-1.410099,7,7.79648
2.317673,7,7.802666
-1.203831,3,7.805797
-0.801395,6,7.811093
3.150742,12,7.821981
0.071384,11,7.831653
1.59154,7,7.838339
-2.174327,6,7.844094
8.619276,15,7.858439
-0.533752,5,7.863138
3.842709,6,8.15201
-2.684835,3,8.154633
-1.608975,5,8.15909
-0.547635,5,8.164057
-2.983625,3,8.167327
1.324033,12,8.184238
1.904104,8,8.195474
2.352838,8,8.208102
6.143754,8,8.219962
-2.03383,7,8.230733
-2.323846,3,8.235255
12.956771,21,8.261111
-7.219753,20,8.278535
3.696675,8,8.286236
7.405779,10,8.29482
13.529252,11,8.304757
2.019815,9,8.315318
-3.092997,3,8.319575
6.808193,10,8.331875
2.005468,22,8.358841
9.86693,19,8.382802
-1.076076,8,8.393096
0.687094,17,8.413915
-1.363301,3,8.418326
-3.576454,5,8.422872
-2.068165,3,8.425915
10.012295,9,8.433937
-2.836598,5,8.438521
-2.010822,5,8.443077
8.368793,16,8.456975
-2.799063,4,8.460645
13.209653,15,8.473592
1.423035,10,8.482563
9.971734,19,8.500018
3.590877,10,8.509318
-1.857444,10,8.51769
8.117084,8,8.525403
6.532754,13,8.536371
33.232598,24,8.557179
4.853481,16,8.570979
1.000576,12,8.581623
9.5843,15,8.594086
1.956218,7,8.600306
3.125072,6,8.605968
-1.443644,4,8.609888
3.988654,9,8.617848
2.009312,9,8.625909
11.07923,17,8.64026
3.738479,10,8.648636
-4.361155,3,8.6515
-0.422891,8,8.658569
-0.698229,6,8.663855
2.388157,8,8.670906
-0.353901,8,8.677643
9.272213,14,8.689168
7.909638,11,8.699219
-5.52446,6,8.704414
41.96344,34,8.731295
-2.469371,3,8.733912
-3.154485,4,8.737243
-5.427991,26,8.759724
2.97505,11,8.768896
6.928088,9,8.778287
-1.037593,3,8.78167
-0.173127,9,8.790372
-0.327121,8,8.798079
0.553675,4,8.801957
-2.546225,6,8.807607
-2.055091,8,8.815191
-1.773412,6,8.820395
0.498534,7,8.826424
15.893928,21,8.845075
3.281627,9,8.853993
-3.326165,5,8.85944
5.375668,13,8.87201
3.080334,14,8.884001
0.965757,7,8.89034
-0.677651,5,8.89492
-0.880766,10,8.903549
16.066359,23,8.923322
14.429807,15,8.937042
-1.79238,4,8.940639
-0.211802,10,8.950207
-3.516662,3,8.953634
-0.272871,17,8.968773
7.35241,8,8.976397
-0.960364,5,8.980597
31.525573,20,8.996835
